MId,ResId,ReqId,ResTIme,state,Estimate,tv_E
2,21,36,2586,1,0.69,0.84
3,2,25,2589,1,0.55,0.32
4,3,37,2592,0,0.73,0.7
5,4,28,2589,1,0.42,0.424
6,5,65,2598,0,0.81,0.76
7,6,56,2606,1,0.73,0.892
8,7,62,2669,1,0.61,0.72
9,8,33,2607,1,0.78,0.81
10,9,72,2610,1,0.82,0.368
11,10,43,2628,0,0.95 ,0.522
12,11,87,2616,0,1.00 ,0.282
13,12,50,2619,1,0.87 ,0.94
14,13,62,2657,1,0.88 ,0.795
15,14,58,2625,1,0.25 ,0.616
16,15,73,2637,1,0.31 ,0.397
17,16,41,2631,1,0.33 ,0.523
18,17,121,2634,1,0.36 ,0.256
19,18,57,2610,1,0.17 ,0.667
20,19,88,2640,1,0.45 ,0.698
21,20,67,2590,0,0.38 ,0.414
22,38,29,2646,1,0.72 ,0.775
23,39,80,2626,0,0.09 ,0.872
24,40,74,2652,1,0.94 ,0.415
25,41,65,2655,0,0.18 ,0.893
26,42,69,2658,0,0.57 ,0.828
27,43,86,2637,1,0.74 ,0.587
28,44,57,2664,1,0.25 ,0.872
29,45,22,2667,1,0.47 ,0.321
30,46,39,2604,1,0.95 ,0.58
31,47,49,2673,1,0.63 ,0.703
32,48,26,2639,0,0.99 ,0.9
33,49,57,2679,0,0.54 ,0.876
34,50,96,2589,0,0.06 ,0.699
35,51,13,2685,1,0.28 ,0.227
36,52,98,2619,1,0.56 ,0.49
37,22,62,2591,1,0.63 ,0.453
38,23,59,2608,1,0.58 ,0.88
39,24,108,2664,0,0.18 ,0.465
40,25,77,2592,1,0.88 ,0.422
41,26,64,2610,1,0.76 ,0.743
42,27,52,2643,1,0.60 ,0.738
43,28,81,2709,0,0.38 ,0.39
44,29,109,2712,0,0.66 ,0.53
45,30,168,2620,0,0.28 ,0.3324
46,31,42,2589,1,0.42 ,0.549
47,32,48,2721,1,0.39 ,0.733
48,33,77,2651,1,0.20 ,0.4432
49,34,51,2607,0,0.04 ,0.798
50,35,83,2730,1,0.72 ,0.683
51,36,54,2641,1,0.46 ,0.5476
